topic,word,prop
1,text,0.019673416391015053
1,languag,0.00956367328763008
1,english,0.00900210253894329
1,linguist,0.008623069152235985
1,use,0.00829387828707695
1,system,0.008263294585049152
1,translat,0.00757635897025466
1,syntact,0.00722259096801281
1,corpus,0.006608310155570507
1,studi,0.006591955665498972
1,featur,0.0063306926749646655
1,word,0.006170129403471947
1,differ,0.005968821235001086
1,measur,0.005685061682015657
1,align,0.00566085334867239
1,present,0.0055686794221401215
1,result,0.005362569820135832
1,similar,0.005114929750561714
1,analysi,0.0050462023355066785
1,lexic,0.004842645954340696
2,digit,0.01958219334483147
2,human,0.01599951833486557
2,comput,0.013954278081655502
2,develop,0.008245464414358139
2,use,0.007496746722608805
2,game,0.007217874750494956
2,project,0.007157396059483291
2,system,0.006964407861232758
2,research,0.00685925455763936
2,articl,0.005836847703903914
2,model,0.005514415446668863
2,studi,0.005040349904447794
2,provid,0.0049198935739696035
2,interact,0.004783176816999911
2,experi,0.004611046519130468
2,approach,0.004414635244756937
2,learn,0.004379089921712875
2,analysi,0.0043360451236367226
2,work,0.004198374692350626
2,tool,0.004068749491125345
3,use,0.011798758059740068
3,imag,0.009853177703917028
3,differ,0.009247411042451859
3,studi,0.009101489558815956
3,word,0.0072982069104909906
3,linguist,0.006926725618541241
3,digit,0.0062691494822502145
3,dialect,0.006210989784449339
3,distanc,0.0061222193762660035
3,work,0.0058780587278306476
3,research,0.005861396435648203
3,techniqu,0.0058502876199781895
3,analysi,0.005754656624048947
3,result,0.0055844420567154884
3,develop,0.0055433972738683215
3,find,0.005311959888786078
3,also,0.004586921073496343
3,comput,0.0043122656643390656
3,base,0.0042826374992728225
3,variat,0.0040355720557272426
4,model,0.008051751181483269
4,use,0.007978624664247036
4,human,0.0069188205525279045
4,studi,0.00676484778523445
4,word,0.00633614556863904
4,method,0.00623002415522933
4,digit,0.006011192686855793
4,analysi,0.0057034166529774675
4,articl,0.0056710485368967065
4,sens,0.005533012095838785
4,research,0.005421535577625036
4,develop,0.005265760235488415
4,data,0.004811055492609739
4,critic,0.0044081369414925575
4,context,0.004091170616447926
4,literatur,0.004084667656570673
4,languag,0.003853442380204797
4,comput,0.0037607192061841492
4,result,0.0037143218796700244
4,discuss,0.0037035150453448296
5,digit,0.025465700775384903
5,edit,0.0230840016156435
5,text,0.017558922991156578
5,project,0.01107048336416483
5,work,0.009903463535010816
5,scholar,0.007372726686298847
5,paper,0.006475589703768493
5,use,0.006185238715261221
5,research,0.005683131981641054
5,manuscript,0.0053047314286232
5,archiv,0.004773053340613842
5,human,0.0047142868861556044
5,encod,0.004683004692196846
5,develop,0.004523666109889746
5,databas,0.00441179983317852
5,technolog,0.004391203168779612
5,data,0.00413470808416605
5,also,0.004054964054375887
5,document,0.003986290656030178
5,textual,0.0039591346867382535
6,digit,0.01292892638593912
6,articl,0.00982782244682312
6,studi,0.008684897795319555
6,differ,0.007954032160341741
6,linguist,0.007299541961401702
6,use,0.006875603459775448
6,languag,0.0055048265494406215
6,data,0.005405634641647339
6,format,0.004842408001422882
6,tool,0.004607632290571928
6,network,0.0045806635171175
6,method,0.004461154341697693
6,human,0.004335768520832062
6,corpus,0.004203511867672205
6,develop,0.0041830288246274
6,project,0.00412971805781126
6,approach,0.004090724512934685
6,text,0.0037301797419786453
6,suggest,0.003418201580643654
6,base,0.0033626973163336515
7,data,0.026980215683579445
7,project,0.01772603765130043
7,research,0.015269233845174313
7,digit,0.014061948284506798
7,develop,0.009265060536563395
7,inform,0.007494845427572726
7,preserv,0.0072348248213529595
7,tool,0.006583580281585455
7,servic,0.006322077941149472
7,access,0.0062022670172154895
7,provid,0.006175423040986061
7,communiti,0.006085913628339768
7,also,0.005900871474295855
7,paper,0.005691637750715017
7,studi,0.005085264798253775
7,use,0.004751212894916534
7,human,0.00471264123916626
7,network,0.004594162572175264
7,includ,0.0043974374420940885
7,challeng,0.004280889872461557
8,research,0.0175807885825634
8,digit,0.009988307021558285
8,studi,0.007935001514852047
8,archiv,0.007597602438181639
8,tool,0.00738148158416152
8,preserv,0.006941488478332758
8,use,0.006719397380948068
8,collect,0.006379279773682356
8,inform,0.005644704215228558
8,develop,0.005571590270847082
8,manag,0.005462763831019402
8,user,0.005407205782830715
8,provid,0.0052506099455058575
8,data,0.005210263188928366
8,present,0.005135270766913891
8,paper,0.005050214007496835
8,analysi,0.004759187810122967
8,project,0.004542234353721142
8,human,0.004495755769312382
8,access,0.004392129834741354
9,languag,0.016204742714762688
9,translat,0.008255879394710064
9,method,0.008111884817481041
9,word,0.00792628712952137
9,text,0.006998830009251833
9,use,0.006946266628801823
9,inform,0.006682094186544418
9,corpus,0.006479808129370213
9,base,0.005722425878047943
9,studi,0.005626870784908533
9,articl,0.0051950919441878796
9,show,0.005188038572669029
9,result,0.004744267091155052
9,approach,0.0046903640031814575
9,propos,0.004501748364418745
9,technolog,0.0044427867978811255
9,differ,0.004422371275722981
9,effect,0.004341847263276577
9,digit,0.004322065506130457
9,featur,0.0041839005425572395
10,text,0.00775841251015663
10,base,0.007579043507575989
10,analysi,0.007336182985454799
10,result,0.007315200287848711
10,word,0.006958435755223036
10,use,0.006833531893789768
10,data,0.006461688783019781
10,articl,0.0064615998417139045
10,studi,0.00630149757489562
10,present,0.0055993893183767796
10,differ,0.005210480652749538
10,method,0.005171624943614006
10,work,0.005019973497837782
10,languag,0.004988942295312882
10,featur,0.0046484870836138725
10,digit,0.004567677155137062
10,model,0.0042385393753647796
10,corpus,0.0041269748471677295
10,approach,0.0040259798988699904
10,process,0.0038625190500169992
11,text,0.014641459099948406
11,use,0.008525676093995571
11,present,0.0065600029192864895
11,analysi,0.0062549328431487075
11,network,0.006119396071881056
11,paper,0.00566740520298481
11,make,0.005428273230791092
11,method,0.005368155427277088
11,articl,0.0052622505463659755
11,studi,0.005139687564224005
11,shakespear,0.005129851400852203
11,question,0.004945393186062574
11,work,0.004472291562706232
11,edit,0.0043910667300224296
11,public,0.004224153235554695
11,result,0.004151921253651381
11,relat,0.004130268003791571
11,histor,0.003983077127486467
11,discuss,0.0039035482332110405
11,read,0.003535140072926879
12,text,0.016064591705799103
12,use,0.01022697426378727
12,method,0.009298873133957386
12,author,0.007350526750087737
12,analysi,0.0071428222581744185
12,word,0.006127806846052408
12,base,0.006082943174988031
12,studi,0.005566623527556658
12,articl,0.005523689556866884
12,model,0.005056551657617092
12,differ,0.0049823508597910396
12,present,0.004910366609692574
12,data,0.004869743715971707
12,write,0.004853787366300821
12,literari,0.004819231107831
12,approach,0.00470234826207161
12,relat,0.004358122590929271
12,corpus,0.004351633135229349
12,digit,0.004309705458581448
12,work,0.004282772541046143
13,digit,0.02080267108976841
13,research,0.016696376726031303
13,human,0.014762126840651037
